accession	definitionLine	organism	product	isolation_source	db_xref	host	clone	isolate	strain	tissue_type	lat_lon	country	note	lab_host
AM404168	"Candidatus Phytoplasma mali partial 16S rRNA gene, strain AP-CCP2."	Candidatus Phytoplasma mali	16S ribosomal RNA	Cacopsylla peregrina	taxon:37692	Crataegus monogyna	none	none	AP-CCP2	none	none	Italy:Aosta Valley	none	none
AB299549	"Uncultured Mycoplasma sp. gene for 16S rRNA, partial sequence, clone: Cc3-003."	uncultured Mycoplasma sp.	16S ribosomal RNA	PCR-derived sequence from termite gut homogenate	taxon:167967	Cryptotermes cavifrons	Cc3-003	none	none	none	none	USA: Florida	rRNA phylotype Cc3-003	none
LT558776	"Candidatus Phytoplasma cynodontis partial 16S rRNA gene, isolate LW01."	Candidatus Phytoplasma cynodontis	16S ribosomal RNA	Leaves	taxon:72990	Cynodon dictylon	none	LW01	none	none	none	India	none	none
LT558777	"Candidatus Phytoplasma cynodontis partial 16S rRNA gene, isolate LW02."	Candidatus Phytoplasma cynodontis	16S ribosomal RNA	Leaves	taxon:72990	Cynodon dictylon	none	LW02	none	none	none	India	none	none
KC468279	"'Datura stramonium' witches'-broom phytoplasma isolate Ds-GKP 16S ribosomal RNA gene, partial sequence."	'Datura stramonium' witches'-broom phytoplasma	16S ribosomal RNA	infected midrib of leaf tissue	taxon:1294276	Datura stramonium	none	Ds-GKP	none	none	none	India	none	none
LN811707	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate BB10, clone Contig_BB10."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	host leaves	taxon:180978	Dendrocalamus strictus	Contig_BB10	BB10	none	none	none	"India:IISER Campus, Pune"	none	none
LN811708	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate BB15, clone Contig_BB15."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	host leaves	taxon:180978	Dendrocalamus strictus	Contig_BB15	BB15	none	none	none	"India:IISER Campus, Pune"	none	none
AM905477	"Candidatus Lumbricincola sp. Ef-GC-H1 partial 16S ribosomal RNA, clone Ef-GC-H1."	Candidatus Lumbricincola sp. Ef-GC-H1	16S ribosomal RNA	earthworm gut content	taxon:575701	E. fetida	Ef-GC-H1	none	none	none	none	"Russia:Moscow Region,Solnechnogorskiy Dist.,Chashnikovo Biological Station"	none	none
AM905476	"Candidatus Lumbricincola sp. Ef-GC-D1 partial 16S ribosomal RNA, clone Ef-GC-D1."	Candidatus Lumbricincola sp. Ef-GC-D1	16S ribosomal RNA	earthworm gut content	taxon:575700	E. fetida	Ef-GC-D1	none	none	none	none	"Russia:Moscow Region,Solnechnogorskiy Dist.,Chashnikovo Biological Station"	none	none
FM165075	"Mycoplasma sp. A1802T partial 16S rRNA gene, type strain A1802T."	Mycoplasma sp. A1802	16S ribosomal RNA	host lung	taxon:538218	Eudyptes chrysocome	none	none	type strain:A1802	none	none	Austria:Vienna	none	none
AM073015	Mycoplasma synoviae 16S rRNA gene.	Mycoplasma synoviae	16S ribosomal RNA	chicken trachea	taxon:2109	Gallus gallus	none	Ms-V11	none	none	none	Viet Nam:Hatay	none	none
AM073014	Acholeplasma laidlawii 16S rRNA gene.	Acholeplasma laidlawii	16S ribosomal RNA	chicken trachea	taxon:2148	Gallus gallus	none	Al-V23	none	none	none	Viet Nam:Hatay	none	none
AM073013	Mycoplasma gallinarum 16S rRNA gene.	Mycoplasma gallinarum	16S ribosomal RNA	chicken trachea	taxon:29557	Gallus gallus	none	Mn-V103b	none	none	none	Viet Nam:Hatay	none	none
LK031770	"'Gerbera sp.' phytoplasma partial 16S rRNA gene, isolate Palampur."	'Gerbera sp.' phytoplasma	16S ribosomal RNA	Gerbera leaves	taxon:1395163	Gerbera sp.	none	Palampur	none	none	none	"India:Himachal Pradesh, Palampur"	none	none
HG425176	"'Gerbera sp.' phytoplasma partial 16S rRNA gene, isolate Palampur."	'Gerbera sp.' phytoplasma	16S ribosomal RNA	host leaves	taxon:1395163	Gerbera sp.	none	Palampur	none	none	none	India:Palampur	none	none
LT558766	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate SB01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	Symptomatic leaf sample of Soyben	taxon:180978	Glycine max	none	SB01	none	Leaf	none	India:Akola	none	none
AY366210	"Mycoplasma testudineum strain BH29 16S ribosomal RNA gene, partial sequence."	Mycoplasma testudineum	16S ribosomal RNA	upper respiratory tract	taxon:244584	Gopherus agassizii	none	none	BH29	none	none	none	type strain of Mycoplasma testudineum	none
NR_115220	"Mycoplasma testudineum strain BH29 16S ribosomal RNA gene, partial sequence."	Mycoplasma testudineum	16S ribosomal RNA	upper respiratory tract	taxon:244584	Gopherus agassizii	none	none	BH29	none	none	none	none	none
EU344953	"Uncultured Spiroplasma sp. clone Hg5-43 16S ribosomal RNA gene, partial sequence."	uncultured Spiroplasma sp.	16S ribosomal RNA	larval gut	taxon:319049	Hepialus gonggaensis	Hg5-43	none	none	none	none	none	none	none
EU344914	"Uncultured Spiroplasma sp. clone Hg5-04 16S ribosomal RNA gene, partial sequence."	uncultured Spiroplasma sp.	16S ribosomal RNA	larval gut	taxon:319049	Hepialus gonggaensis	Hg5-04	none	none	none	none	none	none	none
AM420117	"uncultured Mollicutes bacterium partial 16S rRNA gene, clone 401B07(oral)."	uncultured Mollicutes bacterium	16S ribosomal RNA	subgingival plaque	taxon:220137	Homo sapiens	401B07(oral)	none	none	none	none	Niger	none	none
AM420094	"Uncultured Mycoplasma sp. partial 16S rRNA gene, clone 302G05(oral)."	uncultured Mycoplasma sp.	16S ribosomal RNA	subgingival plaque	taxon:167967	Homo sapiens	302G05(oral)	none	none	none	none	Niger	none	none
HG764209	"Uncultured Mycoplasma sp. partial 16S rRNA gene, clone H07."	uncultured Mycoplasma sp.	16S ribosomal RNA	hospitalized low-birthweight infant oral swab	taxon:167967	Homo sapiens	H07	none	none	none	none	"USA:IL, Chicago"	none	none
HG764210	"Uncultured Mycoplasma sp. partial 16S rRNA gene, clone D06."	uncultured Mycoplasma sp.	16S ribosomal RNA	hospitalized low-birthweight infant oral swab	taxon:167967	Homo sapiens	D06	none	none	none	none	"USA:IL, Chicago"	none	none
LN907227	"Candidatus Phytoplasma solani partial 16S rRNA gene, isolate EGKF06."	Candidatus Phytoplasma solani	16S ribosomal RNA	whole insect	taxon:69896	Hyalestes obsoletus	none	EGKF06	none	none	none	Egypt:kafrelsheikh	none	none
LN907229	"Candidatus Phytoplasma solani partial 16S rRNA gene, isolate EGKF01."	Candidatus Phytoplasma solani	16S ribosomal RNA	whole insect	taxon:69896	Hyalestes obsoletus	none	EGKF01	none	none	none	Egypt:kafrelsheikh	none	none
HM031446	"Uncultured Mycoplasma sp. clone K.b-1 16S ribosomal RNA gene, partial sequence."	uncultured Mycoplasma sp.	16S ribosomal RNA	intestines	taxon:167967	Kareius bicoloratus	K.b-1	none	none	none	none	none	"PCR_primers=fwd_name: 27F, rev_name: 1492R"	none
GU129148	"Uncultured Spiroplasma sp. clone HS4C1 16S ribosomal RNA gene, partial sequence."	uncultured Spiroplasma sp.	16S ribosomal RNA	adult insect on Ziziphus sp.	taxon:319049	Kerria lacca (lac insect)	HS4C1	none	none	none	none	"India: Village Churdaag, Torpa Block, District Khunti, Ranchi, Jharkhand"	none	none
AM905478	"Candidatus Lumbricincola sp. Lt-EX-E10 partial 16S ribosomal RNA, clone Lt-EX-E10."	Candidatus Lumbricincola sp. Lt-EX-E10	16S ribosomal RNA	earthworm cast	taxon:575702	L. terrestris	Lt-EX-E10	none	none	none	none	"Russia:Moscow Region,Solnechnogorskiy Dist.,Ecological Soil Station of Moscow State University"	none	none
AM905480	"Candidatus Lumbricincola sp. Lt-EX-G9 partial 16S ribosomal RNA, clone Lt-EX-G9."	Candidatus Lumbricincola sp. Lt-EX-G9	16S ribosomal RNA	earthworm cast	taxon:575704	L. terrestris	Lt-EX-G9	none	none	none	none	"Russia:Moscow Region,Solnechnogorskiy Dist.,Ecological Soil Station of Moscow State University"	none	none
HQ183731	"Uncultured Mycoplasma sp. clone HN006-16S 16S ribosomal RNA gene, partial sequence."	uncultured Mycoplasma sp.	16S ribosomal RNA	blood	taxon:167967	Leopoldamys edwardsi isolate HN006	HN006-16S	none	none	none	none	China: Hunan	none	none
HQ183732	"Uncultured Mycoplasma sp. clone HN010-18S 16S ribosomal RNA gene, partial sequence."	uncultured Mycoplasma sp.	16S ribosomal RNA	blood	taxon:167967	Leopoldamys edwardsi isolate HN010	HN010-18S	none	none	none	none	China: Hunan	none	none
AB234516	"Uncultured Mollicutes bacterium gene for 16S rRNA, partial sequence, clone: MgMjR-033."	uncultured Mollicutes bacterium	16S ribosomal RNA	PCR-derived sequence from gut homogenate of termites	taxon:220137	Macrotermes gilvus	MgMjR-033	none	none	none	none	Thailand: Pathum Thani	rRNA phylotype MgMjR-033	none
AB234515	"Uncultured Mollicutes bacterium gene for 16S rRNA, partial sequence, clone: MgMjD-022."	uncultured Mollicutes bacterium	16S ribosomal RNA	PCR-derived sequence from gut homogenate of termites	taxon:220137	Macrotermes gilvus	MgMjD-022	none	none	none	none	Thailand: Pathum Thani	rRNA phylotype MgMjD-022	none
HG423138	"Candidatus Phytoplasma mali partial 16S rRNA gene, strain AP-15, isolate Kotlar."	Candidatus Phytoplasma mali	16S ribosomal RNA	phloem tissue	taxon:37692	Malus domestica	none	Kotlar	AP-15	none	none	Poland	none	none
HG423141	"Candidatus Phytoplasma mali partial 16S rRNA gene, strain AP-15, isolate Przel."	Candidatus Phytoplasma mali	16S ribosomal RNA	phloem tissue	taxon:37692	Malus domestica	none	Przel	AP-15	none	none	Poland	none	none
HG425179	"'Mangifera indica' phytoplasma partial 16S rRNA gene, isolate Sarkaghat."	'Mangifera indica' phytoplasma	16S ribosomal RNA	host leaves	taxon:1395166	Mangifera indica	none	Sarkaghat	none	none	none	"India:Treambla, Sarkaghat"	none	none
LN887950	"'Mangifera indica' phytoplasma partial 16S rRNA gene, strain Pal, isolate Mango, clone Surender Kumar."	'Mangifera indica' phytoplasma	16S ribosomal RNA	Leavess and midribs	taxon:1395166	Mangifera indica	Surender Kumar	Mango	Pal	Leavess	none	"India:Himachal Pradesh (Northern India), Palampur"	none	none
KP713734	"Uncultured Anaeroplasma sp. clone 17 16S ribosomal RNA gene, partial sequence."	uncultured Anaeroplasma sp.	16S ribosomal RNA	feces	taxon:538969	mouse	17	none	none	none	none	none	none	none
KP713733	"Uncultured Anaeroplasma sp. clone 16 16S ribosomal RNA gene, partial sequence."	uncultured Anaeroplasma sp.	16S ribosomal RNA	feces	taxon:538969	mouse	16	none	none	none	none	none	none	none
KP713753	"Uncultured Anaeroplasma sp. clone 38 16S ribosomal RNA gene, partial sequence."	uncultured Anaeroplasma sp.	16S ribosomal RNA	feces	taxon:538969	mouse	38	none	none	none	none	none	none	none
AB702914	"Uncultured Anaeroplasmatales bacterium gene for 16S rRNA, partial sequence, clone: M_Fe_Ana01."	uncultured Anaeroplasmatales bacterium	16S ribosomal RNA	feces of mouse	taxon:1159227	Mus musculus	M_Fe_Ana01	none	none	none	none	Japan	none	none
AB255921	"Uncultured Mollicutes bacterium gene for 16S rRNA, partial sequence, clone: Nt2-048."	uncultured Mollicutes bacterium	16S ribosomal RNA	PCR-derived sequence from gut homogenate of termites	taxon:220137	Nasutitermes takasagoensis	Nt2-048	none	none	none	none	Japan: Iriomote Island	rRNA phylotype Nt2-048	none
AB255922	"Uncultured Mollicutes bacterium gene for 16S rRNA, partial sequence, clone: Nt2-052."	uncultured Mollicutes bacterium	16S ribosomal RNA	PCR-derived sequence from gut homogenate of termites	taxon:220137	Nasutitermes takasagoensis	Nt2-052	none	none	none	none	Japan: Iriomote Island	rRNA phylotype Nt2-052	none
LN874220	"Candidatus Phytoplasma omanense partial 16S rRNA gene, strain CAPO-LEB, isolate HO-LB14-04-A7."	Candidatus Phytoplasma omanense	16S ribosomal RNA	host on Convolvulus arvensis' /hots='Hyalesthes obsoletus	taxon:467744	none	none	HO-LB14-04-A7	CAPO-LEB	none	none	"Lebanon:West Bekaa, AMMIQ"	none	none
M30790	"Oenothera phytoplasma 86-7 16S ribosomal RNA, complete sequence."	Oenothera phytoplasma 86-7	16S ribosomal RNA	Oenothera elata subsp. hookeri leaf tip cell culture line 86-7	taxon:219747	Oenothera elata subsp. hookeri (Oenothera hookeri)	none	none	none	none	none	none	plant-pathogenic mycoplasma-like organism	none
GU227399	"Mycoplasma sp. USP120 16S ribosomal RNA gene, partial sequence."	Mycoplasma sp. USP120	16S ribosomal RNA	urogenital tract swab	taxon:699439	Ovis aries	none	none	USP120	none	none	Brazil	none	none
AB617736	"Candidatus Mycoplasma haemovis gene for 16S rRNA, partial sequence, strain: Hitsuji7."	Candidatus Mycoplasma haemovis	16S ribosomal RNA	sheep with hemolytic anemia	taxon:488178	Ovis aries	none	none	Hitsuji7	none	39.7 N 141.1 E	"Japan:Iwate, Morioka"	none	none
GU227396	"Ureaplasma sp. USP11 16S ribosomal RNA gene, partial sequence."	Ureaplasma sp. USP11	16S ribosomal RNA	urogenital tract swab	taxon:699442	Ovis aries	none	none	USP11	none	none	Brazil	none	none
AB617737	"Candidatus Mycoplasma haemovis gene for 16S rRNA, partial sequence, strain: Hitsuji8."	Candidatus Mycoplasma haemovis	16S ribosomal RNA	sheep with hemolytic anemia	taxon:488178	Ovis aries	none	none	Hitsuji8	none	39.7 N 141.1 E	"Japan:Iwate, Morioka"	none	none
AB617734	"Candidatus Mycoplasma haemovis gene for 16S rRNA, partial sequence, strain: Hitsuji5."	Candidatus Mycoplasma haemovis	16S ribosomal RNA	sheep with hemolytic anemia	taxon:488178	Ovis aries	none	none	Hitsuji5	none	39.7 N 141.1 E	"Japan:Iwate, Morioka"	none	none
AB617735	"Candidatus Mycoplasma haemovis gene for 16S rRNA, partial sequence, strain: Hitsuji6."	Candidatus Mycoplasma haemovis	16S ribosomal RNA	sheep with hemolytic anemia	taxon:488178	Ovis aries	none	none	Hitsuji6	none	39.7 N 141.1 E	"Japan:Iwate, Morioka"	none	none
HE974900	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone ATLA_Crab_Bac_D11."	uncultured Mollicutes bacterium	16S ribosomal RNA	host stomach content	taxon:220137	Paralomis sp.	ATLA_Crab_Bac_D11	none	none	none	none	none	none	none
LN879437	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate PR01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	host leaves	taxon:180978	Parthenium hysterophorus	none	PR01	none	none	none	India	none	none
LN879439	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate PR04."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	host leaves	taxon:180978	Parthenium hysterophorus	none	PR04	none	none	none	India	none	none
LN879438	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate PR03."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	host leaves	taxon:180978	Parthenium hysterophorus	none	PR03	none	none	none	India	none	none
LN879442	"Phytoplasma sp. PR07 partial 16S rRNA gene, isolate PR07."	Phytoplasma sp. PR07	16S ribosomal RNA	host leaves	taxon:1720535	Parthenium hysterophorus	none	PR07	none	none	none	India	none	none
FJ862998	"Napier grass stunt phytoplasma isolate Mbita1 16S ribosomal RNA gene, partial sequence."	Napier grass stunt phytoplasma	16S ribosomal RNA	Napier grass exposed to Recilia banda	taxon:265048	Pennisetum purpureum (Napier grass)	none	Mbita1	none	none	none	Kenya	none	none
FJ862997	"Napier grass stunt phytoplasma isolate Bungoma 16S ribosomal RNA gene, partial sequence."	Napier grass stunt phytoplasma	16S ribosomal RNA	diseased Napier grass	taxon:265048	Pennisetum purpureum (Napier grass)	none	Bungoma	none	none	none	Kenya	none	none
LT558769	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate RJ01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	Symptomatic leaf sample of Rajma	taxon:180978	Phaseolus vulgaris	none	RJ01	none	Leaf	none	India:Akola	none	none
NR_025738	"Acholeplasma pleciae strain PS-1 16S ribosomal RNA gene, partial sequence."	Acholeplasma pleciae	16S ribosomal RNA	corn root maggot	taxon:228419	Plecia	none	none	PS-1; ATCC 49582	none	none	Peru	none	none
KF773151	"'Prunus persica' leaf phytoplasma isolate Gurgaon-3 16S ribosomal RNA gene, partial sequence."	'Prunus persica' leaf phytoplasma	16S ribosomal RNA	infected leaf midrib and stem	taxon:1414726	Prunus persica (peach)	none	Gurgaon-3	none	none	none	"India: Manesar, Gurgaon"	none	none
LK031769	"'Pyrus communis' phytoplasma partial 16S rRNA gene, isolate Palampur."	'Pyrus communis' phytoplasma	16S ribosomal RNA	Pear leaves	taxon:1395164	Pyrus communis	none	Palampur	none	none	none	"India:Himachal Pradesh, Palampur"	none	none
HG425177	"'Pyrus communis' phytoplasma partial 16S rRNA gene, isolate Palampur."	'Pyrus communis' phytoplasma	16S ribosomal RNA	host leaves	taxon:1395164	Pyrus communis	none	Palampur	none	none	none	India:Palampur	none	none
FR869692	"Mycoplasma sp. 30L partial 16S rRNA gene, isolate 30L."	Mycoplasma sp. 30L	16S ribosomal RNA	host lung	taxon:1035096	Python sp.	none	30L	none	none	none	none	none	none
KF188427	"'Ranunculus sceleratus' little leaf phytoplasma isolate Rs-GKP 16S ribosomal RNA gene, partial sequence."	'Ranunculus sceleratus' little leaf phytoplasma	16S ribosomal RNA	infected plant stem	taxon:1354729	Ranunculus sceleratus	none	Rs-GKP	none	none	none	India	none	none
KF115412	"Uncultured Entomoplasma sp. clone GVYBRHI01A3ROP 16S ribosomal RNA gene, partial sequence."	uncultured Entomoplasma sp.	16S ribosomal RNA	Red palm weevil in March	taxon:687864	red palm weevil gut	GVYBRHI01A3ROP	none	none	none	none	none	none	none
KF115306	"Uncultured Entomoplasma sp. clone GVYBRHI02FQ4C1 16S ribosomal RNA gene, partial sequence."	uncultured Entomoplasma sp.	16S ribosomal RNA	Red palm weevil fed in low temperature	taxon:687864	red palm weevil gut	GVYBRHI02FQ4C1	none	none	none	none	none	none	none
LN874221	"Candidatus Phytoplasma omanense partial 16S rRNA gene, strain CAPO-LEB, isolate RSP-LB14-04-TRP2."	Candidatus Phytoplasma omanense	16S ribosomal RNA	host from unidentified lebanese bindweed	taxon:467744	Reptalus sp.	none	RSP-LB14-04-TRP2	CAPO-LEB	none	none	"Lebanon:West Bekaa, AMMIQ"	none	none
AB089057	"Uncultured Mycoplasma sp. gene for 16S rRNA, partial sequence, clone: Rs-E42."	uncultured Mycoplasma sp.	16S ribosomal RNA	PCR-derived sequence from termite gut homogenate	taxon:167967	Reticulitermes speratus	Rs-E42	none	none	none	none	"Japan: Saitama, Ogose"	none	none
AB089054	"Uncultured Mycoplasma sp. gene for 16S rRNA, partial sequence, clone: Rs-B54."	uncultured Mycoplasma sp.	16S ribosomal RNA	PCR-derived sequence from termite gut homogenate	taxon:167967	Reticulitermes speratus	Rs-B54	none	none	none	none	"Japan: Saitama, Ogose"	none	none
AB192182	"Uncultured Mycoplasma sp. gene for 16S rRNA, partial sequence, clone: RsTz-16."	uncultured Mycoplasma sp.	16S ribosomal RNA	PCR-derived sequence from gut homogenate of termites	taxon:167967	Reticulitermes speratus	RsTz-16	none	none	none	none	"Japan: Tanzawa, Kanagawa"	rRNA phylotype Rs-B54	none
LT855371	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone TAG_MG_73."	uncultured Mollicutes bacterium	16S ribosomal RNA	Rimicaris chacei midgut	taxon:220137	Rimicaris chacei	TAG_MG_73	none	none	Midgut shrimp	26.08 N 44.49 W	none	none	none
LT855374	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone LS_FG_48."	uncultured Mollicutes bacterium	16S ribosomal RNA	Rimicaris chacei foregut	taxon:220137	Rimicaris chacei	LS_FG_48	none	none	Foregut shrimp	37.17 N 32.16 W	none	none	none
LT855372	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone Rb_FG_02."	uncultured Mollicutes bacterium	16S ribosomal RNA	Rimicaris chacei foregut	taxon:220137	Rimicaris chacei	Rb_FG_02	none	none	Foregut shrimp	36.13 N 33.54 W	none	none	none
LT855373	"Uncultured Mollicutes bacterium partial 16S rRNA gene, clone Rb_MG_84."	uncultured Mollicutes bacterium	16S ribosomal RNA	Rimicaris chacei midgut	taxon:220137	Rimicaris chacei	Rb_MG_84	none	none	Midgut shrimp	36.13 N 33.54 W	none	none	none
